filename	frame_nb	local_id_bonds	bond_size_in_px	bond_length_in_px	bond_orientation	vx_1_x	vx_1_y	vx_2_x	vx_2_y	sum_px_int_vertices_excluded_ch1	sum_px_int_vertices_excluded_ch2	sum_px_int_vertices_excluded_ch3	sum_px_int_vertices_excluded_12bits	sum_px_int_vertices_included_ch1	sum_px_int_vertices_included_ch2	sum_px_int_vertices_included_ch3	sum_px_int_vertices_included_12bits	first_pixel_x_bonds	first_pixel_y_bonds	cell_id_around_bond1	cell_id_around_bond2	
E14_75I_6_0.tif	9	39	19	22.970562748477146	135.0	30	44	15	59	13560.0	6592.0	787.0	13560.0	15182.0	7701.0	880.0	15182.0	29	44	2	26
E14_75I_6_0.tif	9	40	15	17.72792206135786	147.0	15	59	1	68	11585.0	4725.0	662.0	11585.0	13038.0	5543.0	764.0	13038.0	14	59	2	20
E14_75I_6_0.tif	9	41	55	54.828427124746185	90.0	1	68	1	14	97326.0	11164.0	19218.0	97326.0	98580.0	11804.0	19558.0	98580.0	0	67	null	null
E14_75I_6_0.tif	9	42	22	26.798989873223338	37.0	1	68	21	83	23750.0	5492.0	1563.0	23750.0	25709.0	6082.0	1673.0	25709.0	2	69	3	20
E14_75I_6_0.tif	9	43	22	23.899494936611667	103.0	21	83	16	104	20710.0	5942.0	1067.0	20710.0	23000.0	6637.0	1158.0	23000.0	21	84	3	27
E14_75I_6_0.tif	9	44	17	21.384776310850242	137.0	16	104	1	118	12167.0	4066.0	710.0	12167.0	14077.0	4593.0	794.0	14077.0	15	105	3	4
E14_75I_6_0.tif	9	45	51	50.828427124746185	90.0	1	118	1	68	67855.0	7294.0	16112.0	67855.0	69434.0	7716.0	16215.0	69434.0	0	117	null	null
E14_75I_6_0.tif	9	46	10	11.071067811865477	29.0	16	104	25	109	5719.0	2802.0	416.0	5719.0	7843.0	3705.0	563.0	7843.0	17	104	4	27
E14_75I_6_0.tif	9	47	25	30.62741699796953	124.0	25	109	9	133	25828.0	6919.0	1346.0	25828.0	28036.0	7784.0	1520.0	28036.0	25	110	4	22
E14_75I_6_0.tif	9	48	9	8.82842712474619	0.0	9	133	1	133	6766.0	4600.0	269.0	6766.0	8845.0	5509.0	374.0	8845.0	8	133	4	5
E14_75I_6_0.tif	9	49	16	15.828427124746192	90.0	1	133	1	118	7031.0	3323.0	586.0	7031.0	9012.0	4013.0	660.0	9012.0	0	132	null	null
E14_75I_6_0.tif	9	50	19	22.55634918610405	59.0	9	133	20	151	22764.0	4724.0	1006.0	22764.0	24328.0	5365.0	1113.0	24328.0	9	134	5	22
E14_75I_6_0.tif	9	51	20	21.899494936611667	160.0	20	151	1	158	9729.0	5271.0	706.0	9729.0	10875.0	6127.0	785.0	10875.0	19	151	5	6
E14_75I_6_0.tif	9	52	26	25.82842712474619	90.0	1	158	1	133	6716.0	4856.0	935.0	6716.0	8377.0	5980.0	1012.0	8377.0	0	157	null	null
E14_75I_6_0.tif	9	53	13	14.899494936611667	30.0	20	151	32	158	11168.0	4927.0	781.0	11168.0	12489.0	5575.0	862.0	12489.0	21	152	22	6
E14_75I_6_0.tif	9	54	9	9.242640687119284	69.0	32	158	35	166	4893.0	2515.0	381.0	4893.0	6286.0	3630.0	498.0	6286.0	32	159	6	40
