filename	frame_nb	local_id_cells	area_cells	sum_px_intensity_cells_ch1	sum_px_intensity_cells_ch2	sum_px_intensity_cells_ch3	sum_px_intensity_cells_12_bits	first_pixel_x_cells	first_pixel_y_cells	center_x_cells	center_y_cells	s1_stretch_cells	s2_stretch_cells	s0_stretch_cells	orientation_cells	vx_coords_cells	nb_of_perimeter_pixels	perimeter_length	sum_px_intensity_perimeter_ch1	sum_px_intensity_perimeter_ch2	sum_px_intensity_perimeter_ch3	sum_px_intensity_12_perimeter_bits	p1_polarity_ch1	p2_polarity_ch1	p1_polarity_ch2	p2_polarity_ch2	p1_polarity_ch3	p2_polarity_ch3	p1_polarity_12bits	p2_polarity_12bits	p1_polarity_ch1_normalized	p2_polarity_ch1_normalized	p1_polarity_ch2_normalized	p2_polarity_ch2_normalized	p1_polarity_ch3_normalized	p2_polarity_ch3_normalized	p1_polarity_12bits_normalized	p2_polarity_12bits_normalized	deprecated_v1_polarity_ch1	deprecated_v2_polarity_ch1	deprecated_v1_polarity_ch2	deprecated_v2_polarity_ch2	deprecated_v1_polarity_ch3	deprecated_v2_polarity_ch3	deprecated_v1_polarity_12bits	deprecated_v2_polarity_12bits	v1_polarity_ch1	v2_polarity_ch1	v1_polarity_ch2	v2_polarity_ch2	v1_polarity_ch3	v2_polarity_ch3	v1_polarity_12bits	v2_polarity_12bits	x_centroid_intensity_weighted_ch1	y_centroid_intensity_weighted_ch1	x_centroid_intensity_weighted_ch2	y_centroid_intensity_weighted_ch2	x_centroid_intensity_weighted_ch3	y_centroid_intensity_weighted_ch3	x_centroid_intensity_weighted_12bits	y_centroid_intensity_weighted_12bits	local_id_of_bonds	nb_of_vertices_no_cut_off	nb_of_vertices_cut_off	bd_size_cut_off	is_border_cell	is_border_cell_plus_one	
E14_75I_6_0.tif	9	1	285	0	10326	1799.0	2645255.0	1.0	1.0	13.021052631578947	6.543859649122807	0.4728297605069653	-0.09378268093782915	0.4820406348690542	3.043691550164972	10:1#20:1#32:1#20:12#1:14	78	87.11269837220806	0.0	4469.0	638.0	1144702.0	NaN	NaN	-21.032748324242927	-4.4232609626428925	-4.517016248802183	-10.574677901601282	-5388.90058725499	-1142.9294843381833	NaN	NaN	-0.0624610204896638	-0.013135772337479937	-0.09284233061249286	-0.21735094314115763	-0.06247815770128667	-0.013250964163787867	NaN	NaN	0.09837024974147811	0.05024344078244093	0.004035407354286064	0.1635260201080979	0.09831767218902952	0.050306578861705004	NaN	NaN	-0.004245170783591865	0.21319376949560653	-0.09132002296045894	0.3052740252068993	-0.00429428717003995	0.2132457092843132	0.0	0.0	15.426205694363743	6.29817935308929	11.894385769872152	7.798777098387993	15.423803754269438	6.299199888101525	32#33#34#35#36	5	5	2	true	true
E14_75I_6_0.tif	9	2	1235	0	114869	25391.0	2.9431855E7	1.0	15.0	13.920647773279352	35.92793522267206	-0.2066103668207498	-0.11973132261492259	0.238795798315053	1.833402227465311	1:14#20:12#36:23#30:44#15:59#1:68	143	159.98275605729683	255.0	11521.0	1932.0	1.9662988E7	17.26993372731777	4.877133982382284	33.92730816959666	-43.38908090105862	23.28173244800668	6.887831209876818	1140511.049377363	308527.13578994415	0.9623604206065369	0.27177641702327576	0.06517903753003565	-0.0833564077146022	0.2601004963216586	0.07694995723662981	0.8710094177724863	0.23562247911418252	-0.9905454105205215	-0.13718523862548615	-0.25940818399567356	-0.03996089463086518	-0.5324844712418356	-0.09872145790525996	-0.8808325041019429	-0.1225981647373349	-0.9905454105205215	-0.13718523862548596	-0.2660508179132268	-0.0824734254150769	-0.5763399383087281	-0.13123786847317898	-0.9167878267625229	-0.1316170030827136	0.0	0.0	12.297147185054278	35.95038696253994	11.899373793863967	33.31459966129731	12.296804024075275	35.948113056414556	35#37#38#39#40#41	6	6	2	true	true
E14_75I_6_0.tif	9	3	588	0	43344	12032.0	1.1108096E7	1.0	69.0	7.889455782312925	92.7125850340136	-0.40218169701169587	-0.06412869292932476	0.4072623315113137	1.6498567949685212	1:68#21:83#16:104#1:118	108	122.91168824543138	255.0	7984.0	1434.0	1.8757018E7	31.38053376365812	5.71527907348746	76.51395709321788	-54.74412860791132	28.657117846393962	4.192627426106182	2076170.8908688081	360546.22506387497	0.9838161914781803	0.17918063898024378	0.1478832808674324	-0.10580738017383484	0.2934447892536164	0.042931905367010754	0.9339770612275129	0.16219373135557072	-0.9959458297212204	-0.08995501242793447	-0.15291122335934354	-0.04428557327460886	-0.5204004870758691	-0.13059044819559698	-0.9040461612289886	-0.08498163776100458	-0.9959458297212204	-0.08995501242793442	-0.1713190011084553	-0.036815713345685	-0.6065638714421393	-0.0682822246255537	-0.9467935918443745	-0.08678777179043232	0.0	0.0	7.552440937615356	92.99979235880399	6.769614361702128	91.33153257978724	7.551593000276555	92.99798534330276	42#43#44#45	4	4	2	true	true
E14_75I_6_0.tif	9	4	360	0	7016	1097.0	1797193.0	1.0	119.0	11.033333333333333	118.61111111111111	-0.13170705753550369	-0.41939151684088427	0.4395861615232652	2.204049409022362	1:118#16:104#25:109#9:133#1:133	72	87.74011537017756	0.0	3891.0	258.0	996354.0	NaN	NaN	-14.87115617958171	38.98632251885918	0.7821386899787293	0.5972511924681969	-3806.233843282941	9981.095816020426	NaN	NaN	-0.04242806050144516	0.11122968722701812	0.034250647062661115	0.02615423589585885	-0.042408550929539754	0.11120804124878175	NaN	NaN	0.09526828239787462	0.09574556069503441	0.09089489860163492	-0.01011227603825421	0.0952671499358987	0.09571814943169102	NaN	NaN	0.13273056429428148	0.07797632770320544	0.09732120439091703	-0.01345461805881956	0.13272155499463237	0.07795306467925282	0.0	0.0	11.217075256556443	119.6736031927024	11.269826800364632	118.41476754785779	11.217107455904847	119.67283480405277	48#49#44#46#47	5	5	2	true	true
E14_75I_6_0.tif	9	5	300	0	5076	862.0	1300318.0	1.0	134.0	7.443333333333333	145.2	-0.15537365501288916	0.08412987581834758	0.17668845088820853	1.3226617226743203	1:133#9:133#20:151#1:158	70	79.11269837220807	0.0	3050.0	225.0	781025.0	NaN	NaN	-10.438648253096941	-25.413601914852123	-0.6286970977396571	-1.6903381199508773	-2672.9226498905527	-6507.572428322093	NaN	NaN	-0.03676530864156917	-0.0895076541942403	-0.030930483670073103	-0.08316083500944205	-0.03676367741182165	-0.08950587982734722	NaN	NaN	0.27173672174529867	-0.1997835374671564	0.029967414003496687	-0.03711276479050735	0.27166707212557856	-0.19973667478817392	NaN	NaN	0.349843537410047	-0.22476845785373284	0.06981410665659772	-0.070330545058254	0.3497652501709545	-0.22472528197121425	0.0	0.0	8.951142631993696	144.01654846335697	7.510440835266821	145.0522041763341	8.95018756950223	144.01723501481945	48#50#51#52	4	4	2	true	true
E14_75I_6_0.tif	9	6	473	0	16288	2808.0	4172536.0	1.0	159.0	17.520084566596193	162.22198731501058	0.3443474789754685	0.03356618249713807	0.34597958738080475	0.04858532803023052	1:158#20:151#32:158#35:166#31:171#1:169	85	95.35533905932735	0.0	5011.0	632.0	1283448.0	NaN	NaN	-59.39656759482557	3.539933231906496	-15.351765211900316	9.450501416433642	-15220.873069487247	915.6734087844933	NaN	NaN	-0.15180056793937666	0.009047052663657497	-0.30458646364230907	0.1875025292757094	-0.15187740745110748	0.009136801993106163	NaN	NaN	0.09544075150761572	0.2363886309108691	0.22955357358936396	0.4532334821642177	0.09550679181743406	0.2364954104188758	NaN	NaN	0.10063913965566847	0.2544203674528626	0.19040469585947598	0.4937572691310275	0.10068428480128012	0.2545407354395771	0.0	0.0	21.27965373280943	163.6671782907662	20.408475783475783	164.20975783475782	21.279067454421003	163.6675434316205	51#53#54#55#56#57	6	6	2	true	true
E14_75I_6_0.tif	9	7	1792	255	178754	34232.0	6.2506936E7	1.0	170.0	17.874441964285715	195.82254464285714	-0.1599801761077891	-0.02609341820497741	0.1620941800963226	1.651636516569703	1:169#31:171#43:193#27:219#1:223	158	173.74011537017753	0.0	10789.0	1176.0	2763160.0	NaN	NaN	-8.299134348286756	-41.32484023258468	-8.945466397319574	-10.68040372276689	-2133.5238595587325	-10589.839503264448	NaN	NaN	-0.019052545770189513	-0.0948705463648296	-0.19307265675926444	-0.23051832407911443	-0.01912481967213255	-0.0949268834981046	NaN	NaN	-0.08259665169465828	-0.12494562764334168	-0.06084715610618132	-0.24148611123093455	-0.08258739511638848	-0.12499522723536628	NaN	NaN	-0.05615438330615006	-0.1199945228317348	-0.038233854472081295	-0.23989786775669858	-0.05614694056555887	-0.12004432099899535	19.0	182.0	17.310124528681875	193.54783109748593	18.450397289086236	191.15961673288152	17.76254939131875	190.4591272878901	56#58#59#60#61	5	5	2	true	true
E14_75I_6_0.tif	9	8	290	0	7590	1106.0	1944146.0	1.0	224.0	13.26551724137931	230.08965517241379	0.11036373224542463	-0.15111501547355755	0.1871253625159169	2.671590781681704	1:223#27:219#29:224#13:242#8:243#1:228	76	89.25483399593898	0.0	3955.0	420.0	1012900.0	NaN	NaN	5.8850181037753515	36.60204496390509	7.099466867718089	3.3398506896366644	1513.6641014342079	9373.463361449347	NaN	NaN	0.018119677694733365	0.11269587383063989	0.21530845086963984	0.10128902515079996	0.018197847197309505	0.11269135193178692	NaN	NaN	0.06823223726283943	-0.1689628475444772	-0.0605295985230324	-0.12004690364607691	0.0681788460386021	-0.16894256449932246	NaN	NaN	0.06164249306079442	-0.08788672728377184	-0.13255318325785106	-0.004705126927193008	0.06156551008059793	-0.08785375246366088	0.0	0.0	14.922924901185771	229.2026350461133	11.890596745027125	229.52079566003616	14.921199848159551	229.20281604365104	64#65#66#60#62#63	6	6	2	true	true
E14_75I_6_0.tif	9	9	92	0	4328	792.0	1108760.0	1.0	229.0	3.0652173913043477	239.3804347826087	-0.5147090277443988	0.08365521455705398	0.5214629211786501	1.490236180447536	1:228#8:243#1:250	44	50.62741699796953	255.0	1816.0	465.0	1.7177041E7	-10.578821144135128	17.845180917454595	-25.101247330271157	38.94914841543985	6.427477533577351	9.253914374528286	-699713.1143410555	1179482.0125150313	-0.5099414880341634	0.8602090901527972	-0.10327773181395167	0.16025417587836432	0.10090800825893198	0.14528157636556163	-0.49211847903293443	0.829546970249696	-0.4950042989539771	-0.8688905247596395	-0.13620035631859653	-0.2383149140617971	-0.37662168468263296	-0.38359421639417957	-0.48529007834804994	-0.851810880955193	-0.49500429895397746	-0.8688905247596391	-0.09039025504388441	-0.12853966766880273	-0.47470579310677946	-0.21643292211805773	-0.47729744142081826	-0.8364634732078416	0.0	0.0	3.0418207024029575	238.42999075785582	2.323232323232323	236.52651515151516	3.041307406472095	238.4286310833724	65#67#68	3	3	2	true	true
E14_75I_6_0.tif	9	10	307	0	8497	1206.0	2176438.0	1.0	251.0	11.0	253.7328990228013	0.08100072174875453	0.07651686734428856	0.11142687248596098	0.3784700551744304	1:250#8:243#13:242#23:261#20:264#1:262	65	76.18376618407355	0.0	4195.0	348.0	1074268.0	NaN	NaN	-19.690820414750878	-30.19931215457886	-3.911620828413282	2.6053552023800632	-5044.761647004641	-7728.418556369813	NaN	NaN	-0.04742879586551862	-0.07274034201163158	-0.12372796714122544	0.08240964986426409	-0.04745148499585612	-0.07269420496546619	NaN	NaN	0.14394566089986457	0.1737390623137758	0.10068162140178083	0.3698897825776154	0.1439316458815029	0.17380260367463904	NaN	NaN	0.14312035744587592	0.1159324083864796	0.0810919867985359	0.29857606569704753	0.14310191203208317	0.11598672124043005	0.0	0.0	11.817700364834648	254.72378486524656	11.645936981757878	255.2072968490879	11.817605187926327	254.72405278716877	64#67#69#70#71#72	6	6	2	true	true
